"","Exchange Date","Close","Net","%Chg","Open","Low","High","Volume","Turnover - EUR","Flow"
"102",2014-08-31,3172.63,57.1199999999999,0.0183340769248052,3118.83,2977.52,3202.85,9869076900,138144020000,1228435645583
"103",2014-07-31,3115.51,-112.73,-0.0349199563849031,3234.74,3109.26,3289.82,11239960370,157555380000,1090291625583
"104",2014-06-30,3228.24,-16.3600000000001,-0.0050422240029588,3247.54,3211.5,3325.5,11605710710,156982430000,1247847005583
"105",2014-05-31,3244.6,46.21,0.0144478940967174,3198.97,3129.08,3250.34,12250736020,166074510000,1404829435583
"106",2014-04-30,3198.39,36.79,0.0116365131578947,3169.49,3083.43,3239.14,11498651870,157993110000,1238754925583
"107",2014-03-31,3161.6,12.3699999999999,0.00392794429114415,3124.81,2971.47,3185.68,13210298540,140817897664,1080761815583
"108",2014-02-28,3149.23,135.27,0.0448811530345459,3012.25,2944.13,3162.95,10103087450,118072487680,939943917919
"109",2014-01-31,3013.96,-95.04,-0.0305693148922483,3116.34,2963.23,3176.99,12907907920,104389832192,821871430239
"110",2013-12-31,3109,22.3600000000001,0.00724412305937852,3089.39,2916.7,3116.23,8972345180,104024309760,926261262431
"111",2013-11-30,3086.64,18.6900000000001,0.00609201584119691,3068.73,2999.25,3106.64,9963605320,118550778624,822236952671
"112",2013-10-31,3067.95,174.8,0.0604185749097004,2893.66,2891.39,3073.88,13731273840,141103459840,703686174047
"113",2013-09-30,2893.15,171.78,0.0631226183870625,2741.08,2725.56,2955.47,12436274240,124585190912,562582714207
"114",2013-08-31,2721.37,-46.7800000000002,-0.016899373227607,2774.12,2720.57,2855.89,10990392600,123581725184,437997523295
"115",2013-07-31,2768.15,165.56,0.0636135541902489,2619.36,2539.15,2773.6,11668954110,137929935360,561579248479
"116",2013-06-30,2602.59,-167.05,-0.0603146979390822,2757.65,2494.54,2788.22,13342480320,115234589184,423649313119
"117",2013-05-31,2769.64,57.6399999999999,0.0212536873156342,2712.01,2688.59,2851.48,14260299050,123302559232,538883902303
"118",2013-04-30,2712,87.98,0.0335287078604584,2622.24,2542.1,2735.53,14343914460,102144606720,415581343071
"119",2013-03-31,2624.02,-9.5300000000002,-0.00361868960148856,2627.93,2589.84,2746.02,14367402780,115313030144,313436736351
"120",2013-02-28,2633.55,-69.4299999999998,-0.0256864645687352,2706.22,2563.64,2718.56,13729258340,114211458560,428749766495
"121",2013-01-31,2702.98,67.0500000000002,0.0254369425591727,2659.79,2659.79,2754.8,14639548300,118555788544,542961225055
"122",2012-12-31,2635.93,60.6799999999998,0.0235627608970002,2580.9,2567.15,2668.23,11497401980,98900403712,424405436511
"123",2012-11-30,2575.25,71.6100000000001,0.028602354971162,2500.31,2427.32,2592.43,11376420580,121422578688,325505032799
"124",2012-10-31,2503.64,49.3799999999997,0.020120117672944,2451.29,2440.58,2579.81,14011006400,133284484608,204082454111
"125",2012-09-30,2454.26,13.5500000000002,0.00555166324553109,2435.35,2420.46,2604.77,14653759438,94444973777,70797969503
"126",2012-08-31,2440.71,114.99,0.0494427532119087,2326.34,2261.77,2494.06,13598654260,110948236544,-23647004274
"127",2012-07-31,2325.72,61,0.0269348970292133,2266.41,2142.46,2354.75,17077173450,129811873280,-134595240818
"128",2012-06-30,2264.72,145.78,0.0687985502185054,2120.9,2050.16,2264.72,21108393660,114272539648,-264407114098
"129",2012-05-31,2118.94,-187.49,-0.0812901323690725,2306.48,2097.76,2344.95,19913585350,123692955648,-378679653746
"130",2012-04-30,2306.43,-170.85,-0.068966770005813,2481.02,2238.45,2509.93,17707102070,84021069824,-254986698098
"131",2012-03-31,2477.28,-34.8299999999999,-0.0138648387212343,2509.15,2437.6,2611.42,16900176900,120048207360,-170965628274
"132",2012-02-29,2512.11,95.4500000000003,0.0394966606804434,2425.83,2425.83,2557.86,15716197140,126618578944,-50917420914
"133",2012-01-31,2416.66,100.11,0.043215125941594,2315.75,2279.73,2467.62,17789744870,124906957824,-177535999858
"134",2011-12-31,2316.55,-13.8799999999997,-0.00595598237235174,2328.62,2182.76,2402.39,16717865800,112083903616,-302442957682
"135",2011-11-30,2330.43,-54.79,-0.0229706274473633,2352.76,2065.75,2373,23494490900,119442240512,-190359054066
"136",2011-10-31,2385.22,205.56,0.0943082866135085,2146.7,2054.98,2506.22,23478884210,88102059520,-70916813554
"137",2011-09-30,2179.66,-122.42,-0.0531779955518488,2309.64,1935.89,2326.78,27839064060,79227361792,-159018873074
"138",2011-08-31,2302.08,-368.29,-0.137917217464247,2691.93,2077.06,2709.04,32355780990,66972440576,-79791511282
"139",2011-07-31,2670.37,-178.16,-0.0625445405173898,2848.9,2608.04,2887.3,28205877860,1943424400,-12819070706
"140",2011-06-30,2848.53,-13.3899999999999,-0.00467867725163522,2868.54,2692.95,2871.69,23709333400,1894796752,-10875646306
"141",2011-05-31,2861.92,-149.33,-0.049590701535907,3025,2777.73,3029.68,23319983840,2100589934,-8980849554
"142",2011-04-30,3011.25,100.34,0.0344703202778513,2923.02,2833.07,3012.76,20001640810,1688581837,-6880259620
"143",2011-03-31,2910.91,-102.18,-0.0339120305068884,3021.45,2717.74,3041.39,27858632020,2430563388,-8568841457
"144",2011-02-28,3013.09,59.46,0.0201311606396197,2967.26,2930.06,3077.24,21821450540,1978212495,-6138278069
"145",2011-01-31,2953.63,160.81,0.0575797939000723,2807.76,2756.49,3004.27,24169117700,2129504833,-8116490564
"146",2010-12-31,2792.82,141.83,0.0535007676377506,2665.66,2665.66,2882.88,18108498260,1570439411,-10245995397
"147",2010-11-30,2650.99,-194,-0.0681900463622016,2861.56,2635.08,2902.8,22691582230,1969655403,-11816434808
"148",2010-10-31,2844.99,97.0899999999997,0.0353324356781541,2747.93,2690.88,2891.52,16236167120,1672855779,-9846779405
"149",2010-09-30,2747.9,124.95,0.0476372023866259,2629.51,2610.46,2827.44,19679341040,1907824587,-11519635184
"150",2010-08-31,2622.95,-119.19,-0.0434660520615286,2756,2560,2849.45,17451854660,1550325226,-13427459771
"151",2010-07-31,2742.14,168.82,0.0656039668599318,2548.49,2502.5,2801.46,20533383010,1804472453,-11877134545
"152",2010-06-30,2573.32,-36.9400000000001,-0.0141518469424502,2595.63,2475.71,2788.73,30644540160,2272376944,-13681606998
"153",2010-05-31,2610.26,-206.6,-0.0733440781579489,2806.71,2448.1,2828.79,40078173350,3161382327,-11409230054
"154",2010-04-30,2816.86,-114.3,-0.0389948006932408,2941.46,2762.15,3027.14,19401970730,2123550770,-8247847727
"155",2010-03-31,2931.16,202.69,0.0742870546496755,2743.17,2737.07,2969.2,17074886520,1796133576,-6124296957
"156",2010-02-28,2728.47,-48.3600000000001,-0.0174155421829929,2763.88,2617.77,2842.61,20371956130,1879294932,-7920430533
"157",2010-01-31,2776.83,-188.13,-0.063451108952566,2974.86,2737.33,3044.37,16586356780,1798180809,-6041135601
"158",2009-12-31,2964.96,167.71,0.0599553132540889,2817.16,2802.39,3001.56,11854824750,1419315228,-4242954792
"159",2009-11-30,2797.25,53.75,0.0195917623473665,2738.26,2693.8,2933.96,16062711200,1711188298,-5662270020
"160",2009-10-31,2743.5,-129.13,-0.0449518385590905,2874.78,2737.24,2962.06,18358262970,2151615521,-7373458318
"161",2009-09-30,2872.63,97.46,0.0351185693128709,2785.37,2674.66,2915.71,21838964380,2164795171,-5221842797
"162",2009-08-31,2775.17,137.04,0.0519458859116116,2637.51,2587.25,2831.44,18591826170,1616261025,-7386637968
"163",2009-07-31,2638.13,236.44,0.0984473433290725,2410.08,2258.6,2668.5,18724148270,1677389228,-9002898993
"164",2009-06-30,2401.69,-49.5499999999997,-0.0202142589056966,2475.53,2343.02,2549.32,20016510530,1778339539,-10680288221
"165",2009-05-31,2451.24,75.8999999999996,0.0319533203667684,2376.04,2318.26,2499.64,18743214450,1885662682,-8901948682
"166",2009-04-30,2375.34,304.21,0.146881171148117,2065.49,2021.53,2400.69,22339718770,1851893763,-10787611364
"167",2009-03-31,2071.13,94.9000000000001,0.0480207263324614,1963.79,1765.49,2167.29,23561038080,1869687031,-12639505127
"168",2009-02-28,1976.23,-260.75,-0.116563402444367,2214.75,1937.15,2358.44,17704974920,1556720990,-14509192158
"169",2009-01-31,2236.98,-210.64,-0.0860591104828363,2451.69,2086.09,2608.15,16752574890,1707223440,-12952471168
"170",2008-12-31,2447.62,17.3099999999999,0.00712254815229331,2429.98,2227.09,2513.43,14371338480,1636527933,-11245247728
"171",2008-11-30,2430.31,-161.45,-0.0622935765657315,2601.71,2128.29,2755.12,19242212150,2166139211,-12881775661
"172",2008-10-31,2591.76,-446.44,-0.146942268448423,3057.27,2178.73,3130.25,31094918490,4410152952,-10715636450
"173",2008-09-30,3038.2,-327.43,-0.0972863921464927,3353.33,2924.13,3431.08,27244996050,4069262490,-6305483498
"174",2008-08-31,3365.63,-2.19000000000005,-0.000650272282960507,3343.8,3243.75,3456.81,13585416510,2120617960,-2236221008
"175",2008-07-31,3367.82,15.0100000000002,0.00447684181328504,3341.83,3089.5,3410.71,21748999870,3365339535,-115603048
"176",2008-06-30,3352.81,-425.04,-0.112508437338698,3775.39,3298.05,3777.97,19363993780,3135771275,-3480942583
